ID,Ciudad,Provincia
462,Las Palmas de Gran Canaria,Las Palmas
463,Adra,Almería
464,Huelva,Huelva
465,Punta Umbría,Huelva
466,Córdoba,Córdoba
467,Adra,Almería
468,Barcelona,Barcelona
469,Gavà,Barcelona
470,Mutxamel,Alicante
471,Badalona,Barcelona
472,Guardamar,Alicante
473,Barcelona,Barcelona
474,constanti,Tarragona
475,Barcelona,Barcelona
476,Barcelona,Barcelona
477,Terrassa,Barcelona
478,Cervello,Barcelona
479,Castelldefels,Barcelona
480,Barcelona,Barcelona
481,Almería,Almería
482,Arenys de Munt,Barcelona
513,Adra,Almería
517,Adra,Almería
519,Murcia,Murcia
520,Barcelona,Barcelona
521,Barcelona,Barcelona
522,Aguadulce,Almería
523,Barcelona,Barcelona
524,Badalona,Barcelona
525,Badalona,Barcelona
526,Girona,Girona
527,Malgrat de Mar,Barcelona
528,Barcelona,Barcelona
529,RIPOLLET,Barcelona
530,Girona,Girona
531,Barcelona,Barcelona
532,Ripollet,Barcelona
533,barcelona,
535,Badalona,Barcelona
536,Barcelona,Barcelona
537,Barcelona,Barcelona
538,Cartagena,Murcia
539,Murcia,Murcia
540,Barcelona,Barcelona
541,Segur de Calafell,Tarragona
542,Terrassa,Barcelona
543,Barcelona,Barcelona
544,Barcelona,Barcelona
545,BADAJOZ,Badajoz
547,Meliana,Valencia
548,Valencia,Valencia
549,Valencia,Valencia
550,Valencia,Valencia
551,Valencia,Valencia
552,Torrent,Valencia
553,Valencia,Valencia
554,Alcacer,Valencia
555,Valencia,Valencia
556,valencia,
557,Madrid,Madrid
558,Valencia,Valencia
560,Paris,
561,La Vall d'Uixó,Castellón
562,Calasparra,Murcia
563,Alboraya,Valencia
564,La Vall de Uxó,Castellón
565,Barcelona,Barcelona
566,Madrid,Madrid
568,Murcia,Murcia
569,Valencia,Valencia
570,Torreaguera,Murcia
571,Silla,Valencia
573,Valencia,Valencia
574,Valencia,Valencia
575,Sevilla,Sevilla
576,Madrid,Madrid
577,Valencia,Valencia
578,Murcia,Murcia
579,MADRID,
581,Brunete,Madrid
583,LAS PALMAS DE GRAN CANARIA,
584,Dos Hermanas,Sevilla
585,Valencia,Valencia
586,Córdoba,Córdoba
587,Madrid,Madrid
589,Madrid,Madrid
590,Madrid,Madrid
591,Móstoles,Madrid
592,Torrejón de Ardoz,Madrid
593,El Campello,Alicante
595,El Campello,Alicante
596,El Campello,Alicante
597,Rafelbunyol,Valencia
598,Tavernes de la Valldigna,Valencia
599,Teruel,Teruel
601,Madrid,Madrid
602,Madrid,Madrid
603,Valencia,Valencia
604,Santurtzi,Bizkaia
605,Bilbao,Bizkaia
606,Bilbao,Bizkaia
